id,Title,Permalink,Parent,Parent Slug
3671,Business Loan Calculator,https://www.lendingtree.com/business/business-loan-calculator/,129,business
3971,SBA Loan Calculator,https://www.lendingtree.com/business/sba/calculator/,8015,business/sba
9541,Student Loan Refinance Calculator,https://www.lendingtree.com/student/refinance/calculator/,172,student/refinance
10026,Debt Relief Calculator,https://www.lendingtree.com/debt-consolidation/debt-relief-calculator/,138,debt-consolidation
10029,Refinance Calculator,https://www.lendingtree.com/home/refinance-calculator/,25,home
12604,Debt Consolidation Calculator,https://www.lendingtree.com/personal/debt-consolidation-calculator/,164,personal
14672,Home Equity Loan Calculator,https://www.lendingtree.com/home/home-equity/calculator/,142,home/home-equity
14942,Boat Loan Calculator,https://www.lendingtree.com/boat/calculator/,1389,boat
14974,RV Loan Calculator,https://www.lendingtree.com/auto/rv/calculator/,121,auto/rv
14985,ATV Loan Calculator,https://www.lendingtree.com/auto/powersport/atv-loan-calculator/,117,auto/powersport
16165,Motorcycle Loan Calculator,https://www.lendingtree.com/auto/motorcycle/calculator/,113,auto/motorcycle
16338,Business Line of Credit Calculator,https://www.lendingtree.com/business/line-of-credit/calculator/,8022,business/line-of-credit
16371,Rate Table Auto Refinance,https://www.lendingtree.com/home/rate-table-auto/,25,home
16413,Short Term Loan Calculator,https://www.lendingtree.com/business/short-term/calculator/,8018,business/short-term
20357,Mortgage Payment Calculator,https://www.lendingtree.com/home/mortgage/calculators/mortgage-payment/,146,home/mortgage
22182,Bad Habit Calculator,https://www.lendingtree.com/info/bad-habit-calculator/,2208,info
22340,Loan Payment Calculator,https://www.lendingtree.com/home/mortgage/calculators/loan-payment/,146,home/mortgage
26975,Rent Vs. Buy,https://www.lendingtree.com/home/mortgage/calculators/rent-vs-buy/,146,home/mortgage
26981,Auto Loan Calculator,https://www.lendingtree.com/auto/calculators/payment/,99,auto
29155,Auto Refinance Calculator,https://www.lendingtree.com/auto/calculators/refinance/,99,auto
29158,FHA Loan Calculator,https://www.lendingtree.com/home/mortgage/calculators/fha/,146,home/mortgage
29160,Auto Affordability Calculator,https://www.lendingtree.com/auto/calculators/affordability/,99,auto
29162,Va Loan Calculator,https://www.lendingtree.com/home/mortgage/calculators/va/,146,home/mortgage
5299,Mortgage Rates,https://www.lendingtree.com/home/mortgage/rates/,146,home/mortgage
